frequency,s11
111282565.1302603 0.0,-0.3508026568571667 -0.484310210958802
111663326.6533064 0.0,-0.38576008095785674 -0.47409315940654323
112044088.17635249 0.0,-0.4202923340683782 -0.46096103168084657
112424849.69939858 0.0,-0.45415914599420915 -0.4449208570570944
112805611.22244467 0.0,-0.4871247715903197 -0.42599346108979225
113186372.74549076 0.0,-0.5189582889464512 -0.40421081042085055
113567134.26853685 0.0,-0.5494331842523845 -0.3796132469158435
113947895.79158294 0.0,-0.5783261672008941 -0.3522467052491167
114328657.31462903 0.0,-0.6054151554212365 -0.3221600085912218
114709418.83767512 0.0,-0.6304763525056463 -0.2894023408251005
115090180.36072122 0.0,-0.653280320227203 -0.2540210041572651
115470941.8837673 0.0,-0.6735869099943308 -0.2160595926758142
115851703.4068134 0.0,-0.6911388697843255 -0.1755567517089428
116232464.92985949 0.0,-0.7056538791119397 -0.13254575894274395
116613226.45290558 0.0,-0.7168146848704368 -0.08705526977560857
116993987.97595167 0.0,-0.7242569155948941 -0.0391117368136136
117374749.49899776 0.0,-0.7275540453721236 0.01125572716188291
117755511.02204385 0.0,-0.7261988749130525 0.06400687486205149
118136272.54508995 0.0,-0.7195808290779849 0.11907646240508148
118517034.06813604 0.0,-0.7069584091757647 0.17635230049649603
118897795.59118213 0.0,-0.6874264330539784 0.23564113604282647
119278557.11422822 0.0,-0.6598785420732003 0.2966162444628845
119659318.63727431 0.0,-0.6229674225955504 0.3587377162431017
120040080.1603204 0.0,-0.5750693465050332 0.42113256439016744
120420841.68336649 0.0,-0.5142678784271717 0.482417325687093
120801603.20641258 0.0,-0.43838705179408066 0.5404425121127309
121182364.72945867 0.0,-0.34513137969796204 0.5919412426581063
121563126.25250477 0.0,-0.23243264659197194 0.6320862121096604
121943887.77555086 0.0,-0.09915739196424056 0.654025626696563
122324649.29859695 0.0,0.053639047535723315 0.6486208285721371
122705410.82164304 0.0,0.22082000914979028 0.6048767039644039
123086172.34468913 0.0,0.3909696336783756 0.5118542825936871
123466933.86773522 0.0,0.5451523684773942 0.3627646532067344
123847695.39078131 0.0,0.6589059933213711 0.16067311681939156
124228456.9138274 0.0,0.7091618588689337 -0.07737206959280343
124609218.4368735 0.0,0.6839752744021994 -0.3224635486077964
